title,director,genre,ratings,keywords
Windtalkers,johnwoo,"['drama', 'action', 'history']",5.8,"['japan', 'worldwarii', 'radiotransmission']"
The Huntsman: Winter's War,cedricnicolas-troyan,"['action', 'adventure', 'drama']",6,"['witch', 'magic', 'fairytale']"
Teenage Mutant Ninja Turtles,jonathanliebesman,"['sciencefiction', 'action', 'adventure']",5.8,"['martialarts', 'terrorist', 'hero']"
Gravity,alfonsocuarón,"['sciencefiction', 'thriller', 'drama']",7.3,"['spacemission', 'loss', 'space']"
Dante's Peak,rogerdonaldson,"['action', 'adventure', 'thriller']",5.7,"['helicopter', 'smalltown', 'mayor']"
Teenage Mutant Ninja Turtles: Out of the Shadows,davegreen,"['fantasy', 'action', 'adventure']",5.8,"['brotherbrotherrelationship', 'turtle', 'sequel']"
Fantastic Four,joshtrank,"['action', 'adventure', 'sciencefiction']",4.4,"['teleportation', 'transformation', 'telekinesis']"
Night at the Museum,shawnlevy,"['action', 'adventure', 'comedy']",6.3,"['museum', 'skeleton', 'nightshift']"
San Andreas,bradpeyton,"['action', 'drama', 'thriller']",6,"['california', 'earthquake', 'catastrophe']"
Tomorrow Never Dies,rogerspottiswoode,"['adventure', 'action', 'thriller']",6,"['londonengland', 'england', 'spy']"
The Patriot,rolandemmerich,"['drama', 'history', 'war']",6.8,"['rebel', 'southernusa', 'lossofson']"
Ocean's Twelve,stevensoderbergh,"['thriller', 'crime']",6.4,"['sequel', 'fabergéegg', 'dutcheastindiancompany']"
Mr. & Mrs. Smith,dougliman,"['action', 'comedy', 'drama']",6.5,"['bomb', 'assassin', 'secretidentity']"
Insurgent,robertschwentke,"['adventure', 'sciencefiction', 'thriller']",6.2,"['basedonnovel', 'revolution', 'dystopia']"
The Aviator,martinscorsese,['drama'],7,"['ladykiller', 'pilot', 'biography']"
Gulliver's Travels,robletterman,['comedy'],4.9,"['journalist', 'forbiddenlove', 'princess']"
The Green Hornet,michelgondry,"['action', 'crime', 'comedy']",5.5,"['bomb', 'martialarts', 'assassin']"
300: Rise of an Empire,noammurro,"['action', 'war']",6.1,"['basedongraphicnovel', 'ancientgreece', 'duringcreditsstinger']"
The Smurfs,rajagosnell,"['animation', 'family', 'adventure']",5.5,"['moon', 'magic', 'basedoncomicbook']"
Home on the Range,willfinn,"['animation', 'family']",5.7,"['farm', 'cow', 'animal']"
Allegiant,robertschwentke,"['adventure', 'sciencefiction']",5.9,"['basedonnovel', 'revolution', 'dystopia']"
Real Steel,shawnlevy,"['action', 'sciencefiction', 'drama']",6.6,"['fathersonrelationship', 'fight', 'sport']"
The Smurfs 2,rajagosnell,"['fantasy', 'family', 'comedy']",5.5,"['basedoncartoon', 'animation', 'smurf']"
Speed 2: Cruise Control,jandebont,"['action', 'adventure', 'thriller']",4.1,"['boat', 'cruise', 'computer']"
Ender's Game,gavinhood,"['sciencefiction', 'action', 'adventure']",6.6,"['basedonnovel', 'intolerance', 'chosenone']"
Live Free or Die Hard,lenwiseman,"['action', 'thriller']",6.4,"['usa', 'washingtond.c.', 'helicopter']"
The Lord of the Rings: The Fellowship of the Ring,peterjackson,"['adventure', 'fantasy', 'action']",8,"['elves', 'dwarves', 'orcs']"
Around the World in 80 Days,frankcoraci,"['action', 'adventure', 'comedy']",5.7,"['paris', 'londonengland', 'newyork']"
Ali,michaelmann,['drama'],6.7,"['usa', 'transporter', 'boxer']"
The Cat in the Hat,bowelch,"['comedy', 'fantasy', 'family']",4.9,"['cat', 'brothersisterrelationship', 'boredom']"
"I, Robot",alexproyas,"['action', 'sciencefiction']",6.7,"['suicide', 'artificialintelligence', 'manvsmachine']"
Kingdom of Heaven,ridleyscott,"['drama', 'action', 'adventure']",6.6,"['crusade', 'epic', 'knight']"
Stuart Little,robminkoff,"['animation', 'fantasy', 'family']",5.8,"['brotherbrotherrelationship', 'basedonnovel', 'cat']"
The Princess and the Frog,ronclements,"['romance', 'family', 'animation']",6.7,"['basedonnovel', 'voodoo', 'kiss']"
The Martian,ridleyscott,"['drama', 'adventure', 'sciencefiction']",7.6,"['basedonnovel', 'mars', 'nasa']"
The Island,michaelbay,"['action', 'thriller', 'sciencefiction']",6.5,"['clone', 'transplantation', ""loveofone'slife""]"
Town & Country,peterchelsom,"['comedy', 'romance']",3.7,"['architect', 'cellist', 'friends']"
Gone in Sixty Seconds,dominicsena,"['action', 'crime', 'thriller']",6.1,"['brotherbrotherrelationship', 'detective', 'carrace']"
Gladiator,ridleyscott,"['action', 'drama', 'adventure']",7.9,"['rome', 'gladiator', 'arena']"
Minority Report,stevenspielberg,"['action', 'thriller', 'sciencefiction']",7.1,"['self-fulfillingprophecy', 'washingtond.c.', 'evidence']"
Harry Potter and the Chamber of Secrets,chriscolumbus,"['adventure', 'fantasy', 'family']",7.4,"['flyingcar', 'witch', 'magic']"
Casino Royale,martincampbell,"['adventure', 'action', 'thriller']",7.3,"['italy', 'poker', 'casino']"
Planet of the Apes,timburton,"['thriller', 'sciencefiction', 'action']",5.6,"['gorilla', 'spacemarine', 'spacesuit']"
Terminator 2: Judgment Day,jamescameron,"['action', 'thriller', 'sciencefiction']",7.7,"['cyborg', 'shotgun', 'post-apocalyptic']"
Public Enemies,michaelmann,"['history', 'crime', 'drama']",6.5,"['cinema', 'hidingplace', 'machinegun']"
American Gangster,ridleyscott,"['drama', 'crime']",7.4,"['underdog', 'blackpeople', 'drugtraffic']"
True Lies,jamescameron,"['action', 'thriller']",6.8,"['spy', 'terrorist', 'florida']"
The Taking of Pelham 1 2 3,tonyscott,"['thriller', 'drama', 'crime']",6.2,"['hostage', 'newyorkcity', 'newyorksubway']"
Little Fockers,paulweitz,"['comedy', 'romance']",5.4,"['nurse', 'cat', 'father-in-law']"
The Other Guys,adammckay,"['action', 'comedy', 'crime']",6.1,"['narration', 'ceo', 'firetruck']"
Eraser,chuckrussell,"['action', 'drama', 'mystery']",5.6,"['suicide', 'ambush', 'showdown']"
Django Unchained,quentintarantino,"['drama', 'western']",7.8,"['bountyhunter', 'hero', 'plantation']"
The Hunchback of Notre Dame,garytrousdale,"['drama', 'animation', 'family']",6.8,"['paris', 'basedonnovel', 'judge']"
The Emperor's New Groove,markdindal,"['adventure', 'animation', 'comedy']",7.2,"['centralandsouthamerica', 'birthday', 'emperor']"
The Expendables 2,simonwest,"['action', 'adventure', 'thriller']",6.1,"['airplane', 'numberintitle', 'airplanecrash']"
National Treasure,jonturteltaub,"['adventure', 'action', 'thriller']",6.4,"['riddle', 'treasure', 'treasurehunt']"
Eragon,stefenfangmeier,"['fantasy', 'action', 'adventure']",4.9,"['basedonnovel', 'mythicalcreature', 'dragon']"
Where the Wild Things Are,spikejonze,"['family', 'fantasy']",6.4,"[""children'sbook"", 'igloo', 'wolfcostume']"
Epic,chriswedge,"['animation', 'adventure', 'family']",6.4,"['fantasy', 'miniaturepeople']"
The Tourist,florianhenckelvondonnersmarck,"['action', 'thriller', 'romance']",6,"['paris', 'hotel', 'falseidentity']"
End of Days,peterhyams,"['action', 'fantasy', 'horror']",5.5,"['christianity', 'sex', ""newyear'seve""]"
Blood Diamond,edwardzwick,"['drama', 'thriller', 'action']",7.3,"['rebel', 'journalist', 'journalism']"
The Wolf of Wall Street,,"['crime', 'drama', 'comedy']",7.9,"['corruption', 'sex', 'sexuality']"
Batman Forever,joelschumacher,"['action', 'crime', 'fantasy']",5.2,"['riddle', 'dccomics', 'rose']"
Starship Troopers,paulverhoeven,"['adventure', 'action', 'thriller']",6.7,"['moon', 'asteroid', 'spacemarine']"
Cloud Atlas,tomtykwer,"['drama', 'sciencefiction']",6.6,"['clone', 'future', 'dystopia']"
Legend of the Guardians: The Owls of Ga'Hoole,zacksnyder,"['animation', 'adventure', 'family']",6.5,['owl']
Catwoman,pitof,"['action', 'crime']",4.2,"['whiterussian', 'sex', 'dccomics']"
Hercules,brettratner,"['action', 'adventure']",5.6,"['mercenary', 'battle', 'ancientgreece']"
Treasure Planet,ronclements,"['adventure', 'animation', 'family']",7.2,"['cyborg', 'basedonnovel', 'spacemarine']"
Land of the Lost,bradsilberling,"['adventure', 'comedy', 'sciencefiction']",5.3,"['alienlife-form', 'dinosaur', 'primate']"
The Expendables 3,patrickhughes,"['action', 'adventure', 'thriller']",6.1,"['cia', 'armsdealer', 'sequel']"
Point Break,ericsoncore,"['action', 'crime', 'thriller']",5.5,"['undercover', 'undercoveragent', 'extremesports']"
Son of the Mask,lawrenceguterman,"['fantasy', 'comedy', 'family']",3.6,"['baby', 'mask', 'viking']"
In the Heart of the Sea,ronhoward,"['thriller', 'drama', 'adventure']",6.5,"['suicide', 'ocean', 'sea']"
The Adventures of Pluto Nash,ronunderwood,"['action', 'comedy', 'sciencefiction']",4.4,"['moon', 'casino', 'bar']"
Green Zone,paulgreengrass,"['war', 'action', 'adventure']",6.4,"['weaponofmassdestruction', 'baghdad', 'iraqi\xa0']"
The Peanuts Movie,stevemartino,['animation'],6.5,"['basedoncomicstrip', 'family', '3d']"
The Spanish Prisoner,davidmamet,"['crime', 'drama', 'mystery']",7.1,"['dialogue', 'confidence', 'invention']"
The Mummy Returns,stephensommers,"['adventure', 'action', 'fantasy']",6,"['son', 'ancientegypt', 'bracelet']"
Gangs of New York,martinscorsese,"['drama', 'history', 'crime']",7.1,"['fire', 'irish-american', 'immigrant']"
Surf's Up,ashbrannon,"['animation', 'comedy', 'family']",5.9,"['sea', 'worldcup', 'surfer']"
The Stepford Wives,frankoz,"['action', 'comedy', 'sciencefiction']",5.4,"['android', 'housewife', 'transformation']"
Black Hawk Down,ridleyscott,"['action', 'history', 'war']",7.2,"['prisonersofwar', 'wound', 'somalia']"
The Campaign,jayroach,['comedy'],5.6,"['politics', 'politician', 'electioncampaign']"
The Fifth Element,lucbesson,"['adventure', 'fantasy', 'action']",7.3,"['clone', 'taxi', 'cyborg']"
Sex and the City 2,michaelpatrickking,"['comedy', 'drama', 'romance']",5.4,[]
The Road to El Dorado,donmichaelpaul,"['adventure', 'animation', 'comedy']",7,"['gold', 'horse', 'swordfight']"
Ice Age: Continental Drift,stevemartino,"['animation', 'comedy', 'adventure']",6.2,"['bluefootedbooby', 'prehistorictimes', 'meltingice']"
Cinderella,kennethbranagh,"['romance', 'fantasy', 'family']",6.7,"['cinderella', 'magic', 'prince']"
The Lovely Bones,peterjackson,"['fantasy', 'drama']",6.6,"['rape', '1970s', 'evidence']"
Finding Nemo,andrewstanton,"['animation', 'family']",7.6,"['fathersonrelationship', 'harbor', 'underwater']"
The Lord of the Rings: The Return of the King,peterjackson,"['adventure', 'fantasy', 'action']",8.1,"['elves', 'orcs', 'middle-earth(tolkien)']"
The Lord of the Rings: The Two Towers,peterjackson,"['adventure', 'fantasy', 'action']",8,"['elves', 'orcs', 'middle-earth(tolkien)']"
Seventh Son,sergeibodrov,"['adventure', 'fantasy']",5.2,"['magic', 'chosenone', 'darkfantasy']"
Lara Croft: Tomb Raider,simonwest,"['adventure', 'fantasy', 'action']",5.7,"['treasure', 'buddhistmonk', 'planetaryconfiguration']"
Transcendence,wallypfister,"['thriller', 'sciencefiction', 'drama']",5.9,"['artificialintelligence', 'technology', 'nanotechnology']"
Jurassic Park III,joejohnston,"['adventure', 'action', 'thriller']",5.7,"['exoticisland', 'dna', 'paleontology']"
Rise of the Planet of the Apes,rupertwyatt,"['thriller', 'action', 'drama']",7,"['intelligence', 'zoo', 'cage']"
The Spiderwick Chronicles,markwaters,"['adventure', 'family', 'fantasy']",6.3,"['brothersisterrelationship', 'familyrelationships', 'singlemother']"
A Good Day to Die Hard,johnmoore,"['action', 'thriller']",5.2,"['bomb', 'cia', 'russia']"
The Alamo,johnleehancock,"['western', 'history', 'war']",5.8,"['texas', 'officer', 'uprising']"
The Incredibles,bradbird,"['action', 'adventure', 'animation']",7.4,"['secretidentity', 'secret', 'hero']"
Cutthroat Island,rennyharlin,"['action', 'adventure']",5.7,"['exoticisland', 'treasure', 'map']"
Percy Jackson & the Olympians: The Lightning Thief,chriscolumbus,"['adventure', 'fantasy', 'family']",6,"['monster', 'greekmythology', 'god']"
Men in Black,barrysonnenfeld,"['action', 'adventure', 'comedy']",6.9,"['secretidentity', 'sunglasses', 'undercover']"
Toy Story 2,johnlasseter,"['animation', 'comedy', 'family']",7.3,"['museum', 'prosecution', 'identitycrisis']"
Unstoppable,tonyscott,"['action', 'thriller']",6.3,['runawaytrain']
Rush Hour 2,brettratner,"['action', 'comedy', 'crime']",6.4,['duringcreditsstinger']
What Lies Beneath,robertzemeckis,"['drama', 'horror', 'mystery']",6.3,"['secret', 'hauntedhouse', 'ouijaboard']"
Cloudy with a Chance of Meatballs,phillord,"['animation', 'comedy', 'family']",6.5,"['weather', 'food', 'science']"
Ice Age: Dawn of the Dinosaurs,carlossaldanha,"['animation', 'comedy', 'family']",6.5,"['iceage', 'bridge', 'insanity']"
The Secret Life of Walter Mitty,benstiller,"['adventure', 'comedy', 'drama']",7,"['himalaya', 'photographer', 'magazine']"
Charlie's Angels,mcg,"['action', 'adventure', 'comedy']",5.6,"['martialarts', 'femalefriendship', 'millionaire']"
The Departed,martinscorsese,"['drama', 'thriller', 'crime']",7.9,"['undercover', 'boston', 'police']"
Mulan,tonybancroft,"['animation', 'family', 'adventure']",7.6,"['homeland', 'musical', 'training']"
Tropic Thunder,benstiller,"['action', 'comedy']",6.5,"['filmmaking', 'satire', 'jungle']"
The Girl with the Dragon Tattoo,davidfincher,"['thriller', 'crime', 'mystery']",7.2,"['rape', 'journalist', 'basedonnovel']"
Die Hard: With a Vengeance,johnmctiernan,"['action', 'thriller']",6.9,"['bomb', 'taxi', 'riddle']"
Sherlock Holmes,guyritchie,"['action', 'adventure', 'crime']",7,"['detective', 'scotlandyard', 'coffin']"
Ben-Hur,timurbekmambetov,['drama'],5.3,"['betrayal', 'vengeance']"
Atlantis: The Lost Empire,garytrousdale,"['animation', 'family', 'adventure']",6.7,"['sea', 'atlantis', 'animation']"
Alvin and the Chipmunks: The Road Chip,waltbecker,"['adventure', 'animation', 'comedy']",5.8,"['chipmunk', 'cgi', 'talkinganimal']"
Valkyrie,bryansinger,"['drama', 'thriller', 'history']",6.7,"['berlin', 'suicide', 'bomb']"
You Don't Mess with the Zohan,dennisdugan,"['comedy', 'action']",5.5,"['newyork', 'israel', 'middleeast']"
Pixels,chriscolumbus,"['action', 'comedy', 'sciencefiction']",5.6,"['videogame', 'nerd', 'alienattack']"
A.I. Artificial Intelligence,stevenspielberg,"['drama', 'sciencefiction', 'adventure']",6.8,"['artificialintelligence', 'prophecy', 'prostitute']"
The Haunted Mansion,robminkoff,"['thriller', 'fantasy', 'comedy']",5.2,"['secretpassage', 'magic', 'estateagent']"
Contact,robertzemeckis,"['drama', 'sciencefiction', 'mystery']",7.2,"['basedonnovel', 'nasa', 'newmexico']"
Hollow Man,paulverhoeven,"['action', 'sciencefiction', 'thriller']",5.6,"['killing', 'humanexperimentation', 'scientist']"
The Interpreter,sydneypollack,"['crime', 'thriller']",6.2,"['newyork', 'dictator', 'africa']"
Percy Jackson: Sea of Monsters,thorfreudenthal,"['adventure', 'family', 'fantasy']",5.9,"['poison', 'hermes', 'poseidon']"
Lara Croft Tomb Raider: The Cradle of Life,jandebont,"['action', 'adventure', 'fantasy']",5.5,"['riddle', 'treasure', 'medallion']"
Now You See Me 2,jonm.chu,"['action', 'adventure', 'comedy']",6.7,"['londonengland', 'china', 'magic']"
The Saint,phillipnoyce,"['thriller', 'action', 'romance']",5.9,"['berlin', 'russia', 'gas']"
Spy Game,tonyscott,"['action', 'crime', 'thriller']",6.8,"['spy', 'china', 'cia']"
Mission to Mars,briandepalma,['sciencefiction'],5.7,"['mars', 'spacecraft', 'spacetravel']"
Rio,carlossaldanha,"['animation', 'adventure', 'comedy']",6.5,"['brazil', 'pet', 'bird']"
Bicentennial Man,chriscolumbus,"['comedy', 'sciencefiction']",6.9,"['android', 'hologram', 'freedom']"
Volcano,mickjackson,"['sciencefiction', 'action', 'drama']",5.2,"['subway', 'lava', 'volcano']"
The Devil's Own,alanj.pakula,"['crime', 'thriller', 'drama']",5.9,"['newyork', 'terrorist', 'anonymity']"
K-19: The Widowmaker,kathrynbigelow,"['drama', 'history', 'thriller']",6.1,"['submarine', 'sovietunion', 'coremelt']"
Conan the Barbarian,johnmilius,"['adventure', 'fantasy', 'action']",6.6,"['gladiator', 'repayment', 'despot']"
Cinderella Man,ronhoward,"['romance', 'drama', 'history']",7.3,"['transporter', 'netherlands', 'worldcup']"
The Nutcracker: The Untold Story,andreikonchalovsky,"['fantasy', 'action', 'family']",5.4,[]
Seabiscuit,garyross,"['drama', 'history']",6.7,"['horserace', 'americandream', 'racehorse']"
Twister,jandebont,"['action', 'adventure', 'drama']",6.1,"['wifehusbandrelationship', 'tornado', 'twister']"
Cast Away,robertzemeckis,"['adventure', 'drama']",7.5,"['exoticisland', 'suicideattempt', 'volleyball']"
Happy Feet,georgemiller,"['animation', 'comedy']",5.9,"['ocean', 'fish', 'zoo']"
The Bourne Supremacy,paulgreengrass,"['action', 'drama', 'thriller']",7.2,"['berlin', 'assassin', 'basedonnovel']"
Air Force One,wolfgangpetersen,"['action', 'thriller']",6.2,"['prison', 'corruption', 'journalist']"
Ocean's Eleven,stevensoderbergh,"['thriller', 'crime']",7.2,"['prison', 'pickpocket', 'stripclub']"
The Three Musketeers,paulw.s.anderson,"['adventure', 'action', 'thriller']",5.6,"['numberintitle', 'historicalfiction', 'musketeer']"
Hotel Transylvania,genndytartakovsky,"['animation', 'comedy', 'family']",6.8,"['witch', 'magic', 'mummy']"
Enchanted,kevinlima,"['comedy', 'family', 'fantasy']",6.6,"['poison', 'queen', 'fairytale']"
Safe House,danielespinosa,"['action', 'thriller']",6.3,"['cia', 'violence', 'safehouse']"
102 Dalmatians,kevinlima,"['comedy', 'family']",5.1,"['londonengland', 'prison', 'releasefromprison']"
Tower Heist,brettratner,"['action', 'comedy']",5.8,"['skyscraper', 'thanksgiving', 'billionaire']"
The Holiday,nancymeyers,"['comedy', 'romance']",6.7,"['holiday', 'londonengland', 'filmmaking']"
Enemy of the State,tonyscott,"['action', 'drama', 'thriller']",6.7,"['corruption', 'washingtond.c.', 'helicopter']"
It's Complicated,nancymeyers,"['comedy', 'romance']",6.2,"['graduation', 'exhusband', 'womandirector']"
Ocean's Thirteen,stevensoderbergh,"['crime', 'thriller']",6.5,"['casino', 'thief', 'revenge']"
Open Season,jillculton,"['adventure', 'animation', 'family']",6.1,"['hunter', 'mountains', 'garage']"
Divergent,neilburger,"['adventure', 'action', 'sciencefiction']",6.9,"['basedonnovel', 'dystopia', 'youth']"
Enemy at the Gates,jean-jacquesannaud,['war'],7.2,"['winter', 'sniper', 'worldwarii']"
The Rundown,peterberg,"['adventure', 'action', 'comedy']",6.4,"['hunter', 'bounty', 'bountyhunter']"
Last Action Hero,johnmctiernan,"['adventure', 'fantasy', 'action']",6.1,"['magic', 'movieinmovie', 'spoof']"
Memoirs of a Geisha,robmarshall,"['drama', 'history', 'romance']",7.3,"['japan', 'prostitute', 'sistersisterrelationship']"
The Fast and the Furious: Tokyo Drift,justinlin,"['action', 'crime', 'drama']",6.1,"['carrace', 'carjourney', 'carmechanic']"
Arthur Christmas,barrycook,"['drama', 'animation', 'family']",6.7,"['holiday', 'santaclaus', 'duringcreditsstinger']"
Meet Joe Black,martinbrest,"['fantasy', 'drama', 'mystery']",6.9,"['lifeanddeath', 'loveatfirstsight', 'brokenengagement']"
Collateral Damage,andrewdavis,"['action', 'thriller', 'drama']",5.5,"['terrorist', 'fbi', 'colombia']"
All That Jazz,bobfosse,"['drama', 'music']",7.3,"['showbusiness', 'filmmaking', 'tapdancing']"
Mirror Mirror,tarsemsingh,"['adventure', 'fantasy', 'drama']",5.5,"['attemptedmurder', 'fairytale', 'blackmagic']"
Scott Pilgrim vs. the World,edgarwright,"['action', 'adventure', 'comedy']",7.2,"['whipping', 'hipster', 'underagegirlfriend']"
The Core,,"['action', 'thriller', 'adventure']",5.4,"['magneticfield', 'centeroftheearth', 'disasterfilm']"
 'id': 1798490,, 'job': '3D Artist',, 'department': 'Visual Effects'
Nutty Professor II: The Klumps,petersegal,"['fantasy', 'comedy', 'romance']",4.7,"['alterego', 'madscientist', 'family']"
Scooby-Doo,rajagosnell,"['mystery', 'adventure', 'comedy']",5.4,"['amateurdetective', 'voodoo', 'resort']"
Dredd,petetravis,"['action', 'sciencefiction']",6.6,"['usa', 'corruption', 'crimefighter']"
Click,frankcoraci,"['comedy', 'drama', 'fantasy']",6,"['regret', 'workaholic', 'heartattack']"
Creepshow,georgea.romero,"['horror', 'comedy', 'fantasy']",6.7,"['monster', 'halloween', 'meteor']"
Cats & Dogs 2 : The Revenge of Kitty Galore,bradpeyton,"['comedy', 'family']",4.9,"['torture', 'aftercreditsstinger', 'duringcreditsstinger']"
Jumper,dougliman,"['adventure', 'fantasy', 'sciencefiction']",5.9,"['adolescence', 'basedonnovel', 'lossofchild']"
Hellboy II: The Golden Army,guillermodeltoro,"['adventure', 'fantasy', 'sciencefiction']",6.5,"['auction', 'northernireland', 'resignation']"
Zodiac,davidfincher,"['crime', 'drama', 'mystery']",7.3,"['california', 'sanfrancisco', 'killing']"
The 6th Day,rogerspottiswoode,['sciencefiction'],5.7,"['clone', 'future', 'murder']"
Bruce Almighty,tomshadyac,"['fantasy', 'comedy']",6.4,"['christianity', 'moon', 'responsability']"
The Expendables,sylvesterstallone,"['thriller', 'adventure', 'action']",6,"['tattoo', 'martialarts', 'sniper']"
Mission: Impossible,briandepalma,"['adventure', 'action', 'thriller']",6.7,"['paris', 'londonengland', 'spy']"
The Hunger Games,garyross,"['sciencefiction', 'adventure', 'fantasy']",6.9,"['hallucination', 'dystopia', 'femaleprotagonist']"
The Hangover Part II,toddphillips,['comedy'],6.2,"['sunglasses', 'interpol', 'undercovercop']"
Batman Returns,timburton,"['action', 'fantasy']",6.6,"['holiday', 'corruption', 'doublelife']"
Over the Hedge,kareykirkpatrick,"['comedy', 'animation', 'family']",6.3,"['squirrel', 'eatinganddrinking', 'vororte']"
Lilo & Stitch,chrissanders,"['animation', 'family']",7.1,"['sistersisterrelationship', 'extraterrestrialtechnology', 'hawaii']"
Charlotte's Web,garywinick,"['comedy', 'family', 'fantasy']",5.8,"['hero', 'barn', 'spider']"
Deep Impact,mimileder,"['action', 'drama', 'romance']",5.9,"['usapresident', 'nasa', 'metereologist']"
RED 2,deanparisot,"['action', 'comedy', 'crime']",6.4,"['paris', 'londonengland', 'cia']"
The Longest Yard,petersegal,"['comedy', 'drama']",6.2,"['prison', 'americanfootball', 'prisoner']"
Alvin and the Chipmunks: Chipwrecked,mikemitchell,"['comedy', 'fantasy', 'family']",5.4,"['sequel', 'chipmunk', 'cruiseship']"
Grown Ups 2,dennisdugan,['comedy'],5.8,[]
Get Smart,petersegal,"['action', 'comedy', 'thriller']",6,"['dancing', 'spy', 'terrorist']"
Something's Gotta Give,nancymeyers,"['drama', 'comedy', 'romance']",6.3,"['agedifference', 'ladykiller', 'womandirector']"
Shutter Island,martinscorsese,"['drama', 'thriller', 'mystery']",7.8,"['basedonnovel', 'island', 'hurricane']"
Four Christmases,sethgordon,"['comedy', 'romance', 'drama']",5.3,"['holiday', 'romanticcomedy', 'dysfunctionalfamily']"
Robots,chriswedge,"['animation', 'comedy', 'family']",6,"['inventor', 'businessman', 'robot']"
Face/Off,johnwoo,"['action', 'crime', 'sciencefiction']",6.8,"['undercover', 'mexicanstandoff', 'biologicalweapon']"
Bedtime Stories,adamshankman,"['fantasy', 'comedy', 'family']",5.9,"['wishescometrue', 'escapade', 'disorder']"
Road to Perdition,sammendes,"['thriller', 'crime', 'drama']",7.3,"['basedongraphicnovel', 'homework', 'shotinthechin']"
Just Go with It,dennisdugan,"['romance', 'comedy']",6.3,"['beach', 'fictitiousmarriage', 'blackmail']"
Con Air,simonwest,"['action', 'thriller', 'crime']",6.5,"['prison', 'ambush', 'helicopter']"
Eagle Eye,d.j.caruso,"['mystery', 'thriller', 'action']",6.3,"['artificialintelligence', 'washingtond.c.', 'secretidentity']"
Cold Mountain,anthonyminghella,['drama'],6.7,"['lossoflover', 'lossoffamily', 'deserter']"
The Book of Eli,alberthughes,"['action', 'thriller', 'sciencefiction']",6.6,"['book', 'post-apocalyptic', 'dystopia']"
Flubber,lesmayfield,"['comedy', 'family', 'sciencefiction']",5.3,"['weddingvows', 'inventor', 'slime']"
The Haunting,jandebont,"['horror', 'thriller', 'fantasy']",5.2,"['basedonnovel', 'trauma', 'castle']"
Space Jam,joepytka,"['animation', 'comedy', 'drama']",6.5,"['sport', 'basketball', 'doctor']"
The Pink Panther,shawnlevy,"['action', 'comedy', 'crime']",5.6,"['robbery', 'investigation', 'inspector']"
The Day the Earth Stood Still,scottderrickson,"['drama', 'sciencefiction', 'thriller']",5.2,"['extraterrestrialtechnology', 'spacecraft', 'ultimatum']"
Conspiracy Theory,richarddonner,"['action', 'drama', 'mystery']",6.5,"['newyork', 'cia', 'helicopter']"
Fury,davidayer,"['war', 'drama', 'action']",7.4,"['worldwarii', 'nazis', 'war']"
Six Days Seven Nights,ivanreitman,"['action', 'adventure', 'comedy']",5.6,"['overleven', 'familyguy']"
Yogi Bear,ericbrevig,"['comedy', 'family', 'animation']",5.2,"['picnic', 'sandwich', 'bear']"
Spirit: Stallion of the Cimarron,kellyasbury,"['western', 'animation', 'adventure']",7.4,"['humanbeing', 'freedom', 'mustang']"
Zookeeper,frankcoraci,"['comedy', 'romance', 'family']",5.3,"['talkinganimal', 'scientist', 'germanaccent']"
Lost in Space,stephenhopkins,"['adventure', 'family', 'sciencefiction']",5,"['timetravel', 'sabotage', 'deepspaceexplorer']"
The Manchurian Candidate,jonathandemme,"['drama', 'thriller', 'mystery']",6.2,"['senator', 'gulfwar', 'canoe']"
Déjà Vu,henryjaglom,"['romance', 'drama']",8,"['love', 'american', 'pin']"
Hotel Transylvania 2,genndytartakovsky,"['animation', 'comedy', 'family']",6.7,"['transylvania', 'hotel', 'witch']"
Fantasia 2000,jamesalgar,"['animation', 'family', 'music']",7,"['orchestra', 'musicalsegments']"
The Time Machine,simonwells,"['sciencefiction', 'adventure', 'action']",5.8,"['future', 'timemachine']"
Mighty Joe Young,ronunderwood,"['action', 'adventure', 'family']",5.9,"['gorilla', 'dyinganddeath']"
Swordfish,dominicsena,"['action', 'crime', 'thriller']",6.1,"['femalenudity', 'hacker', 'terrorism']"
The Legend of Zorro,martincampbell,"['action', 'adventure']",5.9,"['california', 'spy', 'fathersonrelationship']"
What Dreams May Come,vincentward,"['drama', 'fantasy', 'romance']",6.8,"['paradise', 'soul', 'underworld']"
Little Nicky,stevenbrill,"['comedy', 'fantasy', 'romance']",5.2,"['fathersonrelationship', 'brothersisterrelationship', 'mephisto']"
The Brothers Grimm,terrygilliam,"['adventure', 'fantasy', 'action']",5.6,"['brotherbrotherrelationship', 'literature', 'aftercreditsstinger']"
Mars Attacks!,timburton,"['comedy', 'fantasy', 'sciencefiction']",6.1,"['savingtheworld', 'totaldestruction', 'whitehouse']"
Évolution,lucilehadzihalilovic,"['mystery', 'drama', 'horror']",6.4,"['nurse', 'sea', 'beach']"
The Edge,leetamahori,"['action', 'adventure', 'drama']",6.7,"['photographer', 'grizzlybear', 'wilderness']"
Surrogates,jonathanmostow,"['action', 'sciencefiction', 'thriller']",5.9,"['clone', 'dystopia']"
Thirteen Days,rogerdonaldson,"['drama', 'thriller']",6.9,"['usapresident', 'atomicbomb', 'johnf.kennedy']"
Daylight,robcohen,"['action', 'adventure', 'thriller']",5.8,"['taxi', 'newjersey', 'helicopter']"
Walking With Dinosaurs,barrycook,"['animation', 'family', 'adventure']",5.2,"['dinosaur', '3d']"
